App Name,App Id,App Type,Permissions,Users,Type
Testing,1064305533524-1ee9e5q2o6p4cevvnbouh0ick8ufvmui.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
Untitled project,1064756101458-ef5ev2hpproqse91lmemc2kkjfig4f12.apps.googleusercontent.com,Web Application,Calendar,1,
JIRA,1065897371335-h27ipppsl765bkjn8eifecn2hcjqpkqi.apps.googleusercontent.com,Android,Others,2,Meta
BrowserStack,1066772918720-qoh6r25jl6mcn28aqoirn3gp7s1gucmk.apps.googleusercontent.com,Web Application,Others,1,Meta
Wayfair,10668954132-ii0pv9vd2t4i2j3egv9bj249hf187v5j.apps.googleusercontent.com,Web Application,Others,1,Meta
Udacity,1069728276824-7sem2lgr69vs4liabjj8corbps661iu4.apps.googleusercontent.com,Web Application,Others,2,Meta
Promevo Sales Portal,1070256336893-te9lueoq74ugak3ig95tdvl37umqetml.apps.googleusercontent.com,Web Application,Others,1,Meta
Tripadvisor,1070328450902.apps.googleusercontent.com,Web Application,Others,12,Meta
Neighbor,1070544743919-ff6d0kl51otlh9u3qghrgmhaidh9v8q4.apps.googleusercontent.com,Web Application,Others,1,Meta
eBay,1077078376996-tiuoaddhjh4ch2h4dnokcu4uq3576n9g.apps.googleusercontent.com,Web Application,Others,2,Meta
Realtor.com,1077613200872-2643uknuh1i8rfjgjd0jrkmm3frqqdo9.apps.googleusercontent.com,Web Application,Others,2,Meta
Google Drive for Confluence & Jira,1080080380801-1s13bahdvlh579fstpjm8o168v1e4c3m.apps.googleusercontent.com,Web Application,Drive,25,
Scott's Cheap Flights,108147266412-33njno1el2aaf0raqc4dhi2l196vjgt4.apps.googleusercontent.com,Web Application,Others,1,Meta
Fetch_FinDataSQL,1082484789197-glso4ncgh5seeaoj4phs6h6sr99brt1o.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
Tableau,108315368982-fhk59oh0vmpj8vif1smea64flvfg4tv0.apps.googleusercontent.com,Web Application,Drive,7,
Tableau,108315368982-mfe7b31cbom80toum943mgg250p8hsl4.apps.googleusercontent.com,Web Application,Drive,2,
WordPress,108380595987-j91sm1alavcdgd81i2655kp8q1lbtvrc.apps.googleusercontent.com,Web Application,Others,1,Meta
Hipmunk,108670380482-srf0he2fu64lrdjlbqeoqguha4qr268v.apps.googleusercontent.com,Web Application,Others,1,Meta
PnL,1088339617851-a948b1uc6bid2bc7lr55ehgmol9qbp2m.apps.googleusercontent.com,Web Application,Drive,1,
Exif Meta Viewer for Drive,111863700124-074s5qoqq5p2mc2h50abftn5ktc7m1ln.apps.googleusercontent.com,Web Application,Drive,2,
Calendars 5,115462536866-ulmt0i7ik48sjee47lju68saffpg0kkg.apps.googleusercontent.com,iOS,Calendar,1,
Events Calendar,115749518092-rufq0461dc4c1rjar0mb4eh84emoahgl.apps.googleusercontent.com,Web Application,Calendar,1,
DocHub - PDF Sign & Edit,1179802238-202ueh12c57itr8t99rlpp8tem3s5bk8.apps.googleusercontent.com,Web Application,Drive,13,
DocHub - PDF Sign & Edit,1179802238-balmr1e5m7sdgvoeu5lp28a5g6luvim5.apps.googleusercontent.com,Web Application,Drive,7,
Google Gather,122167620338-cf846ucgscod617b2jahi6p30e4cn7im.apps.googleusercontent.com,Web Application,Others,7,Meta
cloudHQ,125135905029.apps.googleusercontent.com,Web Application,"Gmail, Drive",3,
PnL,128625660981-6b2e868pee5fnug9067al9gtmfu0i7ek.apps.googleusercontent.com,Web Application,Drive,1,
GrabTaxi,141255113973-1crlpnp1dfraninhjf6bul9c48gl6sa6.apps.googleusercontent.com,Android,Others,1,Meta
GrabTaxi,141255113973-3bo26epvon2murd7ouh9l4ctipcg2m68.apps.googleusercontent.com,iOS,Others,1,Meta
Glassdoor,141714232794-u9pltfkeb9skmomag53kf4dt3p4mgp1a.apps.googleusercontent.com,Web Application,Others,35,Meta
GateRank Predictor,145591097846-7vt2q9hgp861hq7rh7tv0j4vmnd9rall.apps.googleusercontent.com,Web Application,Others,1,Meta
StreetEasy,147313643782-6g6eiu6pva3rofhad6e7csk4r701hbpf.apps.googleusercontent.com,Web Application,Others,3,Meta
Logitech,154719634762-miuv2h5iatn6fqvk0sb2s6eqdkhbt8oh.apps.googleusercontent.com,Web Application,Others,1,Meta
jdbc,156540554200-909c85jcn1gmqi102s5haceu4r9mk8id.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
SonyLIV Web,159799352625-rg89d99kqb2qdabo99lv822gsie7jgr5.apps.googleusercontent.com,Web Application,Others,1,Meta
"O'Reilly Media, Inc.",169467428391-861p65v1smjhiu0uftrp99d1l2ks2o7e.apps.googleusercontent.com,Web Application,Others,4,Meta
doc_template_creator,171587889764-4q48e2al2n0pu5cd443rpjg9cff9jdf2.apps.googleusercontent.com,Web Application,Drive,1,
Logitech - LIdS,172892496965-51375kue6ntm5at0q7cjomt5gfsnocp4.apps.googleusercontent.com,Web Application,Others,2,Meta
flowkey,174289370194-eshqr9qiillf61qtcp9kgmj88aa18lj7.apps.googleusercontent.com,Android,Others,1,Meta
CouponCabin,174526201421-69efgat1b312k7tmucj89f00l1b1ognm.apps.googleusercontent.com,Web Application,Others,1,Meta
Ritual,177798635244-a09op77j7lb5ubt63j4hdonhh8cqu4ae.apps.googleusercontent.com,iOS,Others,1,Meta
Slack,19570130570-tfuuvh6hutjd09bq64is5sao643q67jg.apps.googleusercontent.com,Web Application,"Drive, Calendar, Admin",539,
Measure Map,196280979389-c4db1oeianifikkms5eq5n4gggf96jcq.apps.googleusercontent.com,Web Application,Others,1,Meta
Virtru,197076597243-pmtqlhc964j3do8sd0s5c7rq160e4smt.apps.googleusercontent.com,Web Application,Others,3,Meta
EFAAS Web Console,198572333586-0t0utk4m4nboo9a810hgcab197duhpag.apps.googleusercontent.com,Web Application,Others,1,Meta
CloudConvert,199590644126.apps.googleusercontent.com,Web Application,Drive,6,
Vault,203084464697-ggspb70qp5g3rk5eelu5lik9efbmnguk.apps.googleusercontent.com,Web Application,Others,1,Meta
Project,207470277262-4fnq52u99b3l8u4vfd6loi9dugiupu7v.apps.googleusercontent.com,Web Application,Drive,1,
Atlassian Statuspage,211568154679-o6t26q3qrf48ct3vs9bjg48l250nstmg.apps.googleusercontent.com,Web Application,Others,12,Meta
Simpler Dialer,213604929474-8h736kcrgbe3bt5kv7ehoquva4ilhblp.apps.googleusercontent.com,Android,Others,1,Meta
Medium,216296035834-4u4cg2hehbal9lkokg9pvgnupegplmke.apps.googleusercontent.com,Android,Others,2,Meta
Medium,216296035834-k1k6qe060s2tp2a2jam4ljdcms00sttg.apps.googleusercontent.com,Web Application,Others,41,Meta
ETTelecom,217469183284.apps.googleusercontent.com,Web Application,Others,1,Meta
Mailtrack,224054973946.apps.googleusercontent.com,Web Application,Gmail,2,
Fareportal DMS,225858352230-ns77skrj4858jjh1ekrb5u6ijv2u8igl.apps.googleusercontent.com,Web Application,Others,1,Meta
Recorded Macros (Payment tracker_ 2019_11th Sept),228200728797-gb1gnjq5l0l5sejpj5f4nsgcc1fdkcgi.apps.googleusercontent.com,Web Application,Drive,1,
Management Network Multiselect,231377235755-qpgfdnq7rdqp4t5rumt6olgqt7t4oc52.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
Untitled project,237307626203-7e8m6d5i7o16l08gcan2ftm6b2i5se2m.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
Zillow,238648973530.apps.googleusercontent.com,Web Application,Others,4,Meta
PnL,238796016935-60sejj1dq3mav1cg1064003hl8gceivs.apps.googleusercontent.com,Web Application,Drive,1,
Recorded Macros (Untitled spreadsheet),240888543142-svm7397idfrcl15ipo3e48bjqafpfham.apps.googleusercontent.com,Web Application,Drive,1,
Mass Delete,241684929821-29fh92ta57t2h98s0ab4bv897d85d3as.apps.googleusercontent.com,Web Application,Gmail,1,
Document Viewer for Google Drive,242212781037-9i0991icd67v5c42k4mtcalpqtnnpi22.apps.googleusercontent.com,Web Application,Drive,1,
Screencastify,242262968495-1m5o9ef10hp44to5jtko0g1r02fsf2jp.apps.googleusercontent.com,Web Application,Drive,1,
Screencastify,242262968495-o42n5tqeo08dsa75p3j4dk1k61t05ln3.apps.googleusercontent.com,Web Application,Drive,4,
Noisli,244809216039-urbimntrhd89evqvfae6k68l23489ubd.apps.googleusercontent.com,Web Application,Others,1,Meta
Event Locator,246944806535-7hhvlnkjh1q1umcag7rjvgp6qm6qpvpg.apps.googleusercontent.com,Web Application,"Calendar, Apps Script Runtime",3,Apps Script
Refractiv OverDRIVE,254158829526-1d1jb2of8ldpvs78e62vbp50kf05gqp4.apps.googleusercontent.com,Web Application,Others,1,Meta
Wrike iOS app,260820609782-v91bs5v7dcigpp8roo18fdg2jsdsnrt3.apps.googleusercontent.com,iOS,Others,1,Meta
Auto Trader,262661727855-t8t9ca7vl2ml3ns0pjjjvbs0vro1pv6d.apps.googleusercontent.com,Web Application,Others,2,Meta
GoLinks,277405043093-a4b6snmjg3ud5l1heq695a7l5c0fd9vn.apps.googleusercontent.com,Web Application,Others,1,Meta
Myprotein,282371554639-g5h5i4gs4jisdldtvcok56r2981vvfpv.apps.googleusercontent.com,Web Application,Others,1,Meta
Trello,28300235456-b801aqbc1i8luet9arr7sgll09t6eep9.apps.googleusercontent.com,Web Application,Others,1,Meta
PnL,283028863103-jgoa95nkumlq43t2c75biem7qprqu1dr.apps.googleusercontent.com,Web Application,Drive,1,
Education.com,283427801117-gcsiu9p714dc31684r15mdoks9vupn6a.apps.googleusercontent.com,Web Application,Others,1,Meta
BankBazaar.com,292169499198-0lfk82r2deoft25lth746btka7g5gslr.apps.googleusercontent.com,Web Application,Others,3,Meta
Google APIs Explorer,292824132082.apps.googleusercontent.com,Web Application,Calendar,3,
WhatsApp Messenger,293955441834-jc0jr4nnng51vb1v0q8fea5af6i5sakt.apps.googleusercontent.com,Android,Drive,1,
FortiClient Android,296086252307-ehucg8ate48n051dvf1n23vrv3qr9368.apps.googleusercontent.com,Android,Others,1,Meta
Recorded Macros (Crypto Checklist),296934901614-t37jdmdemhqb3dke5mt4mre2bdmlf5nl.apps.googleusercontent.com,Web Application,Drive,1,
Etsy,296956783393-2d8r0gljo87gjmdpmvkgbeasdmelq33e.apps.googleusercontent.com,Web Application,Others,1,Meta
Doordash,312397499938-le4n4vnj6gakctp89ifgev2a0vp8uut4.apps.googleusercontent.com,Web Application,Others,1,Meta
Xodo,318378661449-56elpf0k7qsk4h9ecjf5613ho7igp0hl.apps.googleusercontent.com,Web Application,Drive,1,
GMAIL FILTERS,334948774295-n7fpsupehtv25ua3mda6fqdv125bbrj4.apps.googleusercontent.com,Web Application,"Gmail, Drive",1,
Untitled project,338754620164-qsbfnhq9o6gabjt0h090v0qlifag17mh.apps.googleusercontent.com,Web Application,Gmail,1,
Test Script,346275398031-4jh49ic9fefudvb6ivdaf8is347rkr4v.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
TestEmails,348719052790-3bqu8k4pkg26ees53tdo7hb7mb74eg71.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
Google Drive Chrome Extension,351861205747-jdceupirmv7o77ne1a3b4qh1klct94ck.apps.googleusercontent.com,Web Application,Drive,3,
Project Default Service Account,354862010105-bpcqmt1h1cn4imggmm22sqjitca64cld.apps.googleusercontent.com,Web Application,Others,1,Meta
Basic Web App,355241220984-u7c2rq6kg0421n55i06hp3mpgd20kjig.apps.googleusercontent.com,Web Application,"Gmail, Drive",1,
trivago,363634697571-lj09qn82grlkcma3sud1c11bo7srajd3.apps.googleusercontent.com,Web Application,Others,1,Meta
Freshdesk,367378856688.apps.googleusercontent.com,Web Application,Others,1,Meta
Best Buy App,369075948042-gku8boqssoqo5bdnkpg2s43mscgsk68i.apps.googleusercontent.com,Web Application,Others,1,Meta
Google Data Studio,371237729773-o16eiche3liejj1onknknuhkj83k139b.apps.googleusercontent.com,Web Application,Drive,2,
MineTime,372037961349-7cfegksh5f1b18ps8orh1orivlu94t9f.apps.googleusercontent.com,Web Application,"Calendar, Contacts",1,
Moqups Drive API,372941403685-ea9uim0oiuk805ogakvcg62f3s7a4u9d.apps.googleusercontent.com,Web Application,Drive,1,
Wrike,37355362364-dha13aajhc35i8rfudmsjaijnt9vd72u.apps.googleusercontent.com,Web Application,Others,6,Meta
Relive,376216316442-298fkv07hkrl0tb82bpnaavv43s7gtgf.apps.googleusercontent.com,Android,Others,1,Meta
Kaggle,378513217926-6q3lp8ojftf1i14dlrj0udqh4ou2jjok.apps.googleusercontent.com,Web Application,Others,2,Meta
Inspirock,381340841962-s26k81om9ch6i6rp5du52i23btbrr2ld.apps.googleusercontent.com,Web Application,Others,1,Meta
Untitled project,381484173395-fuevt8jj08av19ijekp16rh76auk5sj9.apps.googleusercontent.com,Web Application,Gmail,1,
klook-firebase,38241767456-tblln7me133j132hginhj8j6cphbq39c.apps.googleusercontent.com,Web Application,Others,2,Meta
weekly RK Email,383678107613-6hiahtipfcbp6m95u67tjfq4a265f2h7.apps.googleusercontent.com,Web Application,"Gmail, Drive, Apps Script Runtime",3,Apps Script
GeeksforGeeks,388036620207-3uolk1hv6ta7p3r9l6s3bobifh086qe1.apps.googleusercontent.com,Web Application,Others,2,Meta
GeeksforGeeks,388036620207-mu7cieefmijqq0lbpds5q1qcsnl0idng.apps.googleusercontent.com,Android,Others,1,Meta
TVF Play,391941770339-fhpebs4f2lvdjhdhtn7khntdtpmb1v6f.apps.googleusercontent.com,Web Application,Others,1,Meta
PnL,402190748067-ku2iq9f84j4c0ug4p4tdcg57h8d676ua.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
ProtectedDoc,402604260491-cpc038ekg7qobgf7jsbl1u8q02pmrh35.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
Samsung account,40316552947-p4entmmkhrq6r4e8gia8cprg30j17gn8.apps.googleusercontent.com,Web Application,Others,1,Meta
AndroidApp,404579753391-o5j3mbb29894r2otvl7ine11seeb3c79.apps.googleusercontent.com,Android,Others,1,Meta
Mozilla Thunderbird Email,406964657835-aq8lmia8j95dhl1a2bvharmfk3t1hgqj.apps.googleusercontent.com,Web Application,Gmail,1,
Arch Linux Chromium,413772536636.apps.googleusercontent.com,Web Application,Others,1,Meta
ACE,41617154500-5gufbg5oanepfn4d4veplp4n06vjokei.apps.googleusercontent.com,Web Application,Others,1,Meta
Ubuntu,424119844901-tilod0e1nm0dt85e1evrdfp3cc3ec01d.apps.googleusercontent.com,Web Application,Others,6,Meta
Growth Engine,424794523095-s1tqvdqksb8t6b6ihengppv1nc585o4i.apps.googleusercontent.com,Web Application,Others,1,Meta
Commudle,432745930633-vc668ls5qi0bf9lit9sp5fhnf18vka8l.apps.googleusercontent.com,Web Application,Others,1,Meta
Multiple selections dropdown,438262947614-lcv0r5ta24tlemj3p4s9keehaisaakju.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script
Grammarly,440299537835-eg35dcqfh9v2qkagoqm0lo245vh4g7bu.apps.googleusercontent.com,Web Application,Others,32,Meta
Zomato,442739719837.apps.googleusercontent.com,Web Application,Others,10,Meta
Loom,443240113960-6mj529r3r24gpp4c9u57n9ndrg01i911.apps.googleusercontent.com,Web Application,Others,1,Meta
Cal,444896084609-p1hh6omf3r57014hkf77v4ahoegdsnit.apps.googleusercontent.com,Android,Others,1,Meta
KAYAK,446009525344-j420p21u4ap0114qr1fnrk8bhq4f2il1.apps.googleusercontent.com,Web Application,Others,8,Meta
Gmail Tools,446138189510-c930go767afh9uuopdggblspi74ce642.apps.googleusercontent.com,Web Application,"Gmail, Apps Script Runtime",1,Apps Script
Evernote,447407681759.apps.googleusercontent.com,Web Application,Others,4,Meta
iOS,450232826690-0rm6bs9d2fps9tifvk2oodh3tasd7vl7.apps.googleusercontent.com,iOS,"Gmail, Calendar, Contacts",45,
Checker Plus for Gmail™,450788627700-m1vhpe3biqmp4vgaachs2us80updp12j.apps.googleusercontent.com,Web Application,Gmail,1,
Calendar Tagger,451971641850-jfan2geruqcnoda7cuhomb9fifh3oi80.apps.googleusercontent.com,Web Application,"Calendar, Apps Script Runtime",2,Apps Script
cleanup,458696267388-11lsuquitpshkejuth6rbh9nkao5dnnk.apps.googleusercontent.com,Web Application,"Gmail, Apps Script Runtime",1,Apps Script
Event Location Shader,460878889578-daoi59busropriaeanpve2njhgjkgl2b.apps.googleusercontent.com,Web Application,"Calendar, Apps Script Runtime",1,Apps Script
Smartsheet,46145466229.apps.googleusercontent.com,Web Application,Drive,15,
Calendar Update Script File,462659381699-hhmgagk3hurp7eslvvgq739caconrfe6.apps.googleusercontent.com,Web Application,Drive,2,
Amazon Alexa,463698813043-o2michok88mj0nq3k8g5ftbf060s1ntp.apps.googleusercontent.com,Web Application,Calendar,1,
Gmail-Delete,464673051398-jqvrmfl0vllh2bd4n0t9pbmsr01lhige.apps.googleusercontent.com,Web Application,Gmail,1,
Insync,468017360789-e4camv9a5n4e90tk4vrpk49qonmcm95s.apps.googleusercontent.com,Web Application,Drive,1,
Rocketbook,468264241591-m6ai68oq6iujdg1bcq099frs24iehmdc.apps.googleusercontent.com,iOS,Others,1,Meta
Overleaf,47304055603.apps.googleusercontent.com,Web Application,Others,2,Meta
NFS_Quota_Alerts,478244139075-78kolhmgrp2upto3a0mjds0fil5jsrc8.apps.googleusercontent.com,Web Application,"Gmail, Drive",1,
forward procurement,479807767169-ussoovksv3d7garvfm054e38nshqnfb2.apps.googleusercontent.com,Web Application,Gmail,1,
Real Estate & Homes by Trulia,487011081137-peeju6k4k30q731m6oo3k0kas0mqa5a3.apps.googleusercontent.com,Web Application,Others,1,Meta
RSVPify,490847583508-rnuc9n4mus9to62b40aq3e8nfpsfoko0.apps.googleusercontent.com,Web Application,Others,1,Meta
Scribd,491264573595-hs5hu9ijbfl9g6khnkn2retrfr6lcua7.apps.googleusercontent.com,Web Application,Others,2,Meta
Egress Secure Email for GSuite,503322020588-l1brpk0tjepc6lsemevlnknnlppr373m.apps.googleusercontent.com,Web Application,Gmail,1,
Deliveroo,503757482204-dmiski9tsv4kih4q39bt32lgvdn6e8su.apps.googleusercontent.com,Web Application,Others,51,Meta
GSheet_Suspended_Usr_list,504186272165-61h94rsotrnq3bdr1j65j1kkfmddb9tg.apps.googleusercontent.com,Web Application,Drive,1,
CRES - Cisco Registered Envelope Service,507313714964-6p88u6grrfv4int8pvujgaimias5ug62.apps.googleusercontent.com,Web Application,Others,4,Meta
Project Default Service Account,507860335923-58om9b9ls82vrr7s4d2hdil7kiu5ihl6.apps.googleusercontent.com,Android,Others,2,Meta
Disqus.com,508198334196-bgmagrg0a2rub674g0shidj8fnd50dji.apps.googleusercontent.com,Web Application,Others,4,Meta
eBay,510718330363-s8203tpcr3unvq2n580hoke0590m6rd8.apps.googleusercontent.com,Web Application,Others,2,Meta
Gmail_Autofilters_Tower_v1.3,514081279983-rf5t3709d688uppg0uo4odhitu2s7ur1.apps.googleusercontent.com,Web Application,"Gmail, Drive, Apps Script Runtime",1,Apps Script
Grasshopper,531246522847-cpii92d27guqb6mrvgtc8skipar03g1f.apps.googleusercontent.com,Web Application,Others,1,Meta
Google Drive plug-in,531326910636-6ssag1lt3u6jgusferpp5fasa0fn118r.apps.googleusercontent.com,Web Application,Drive,13,
Slack,533288507123-c7lce59bel4e7c6mt1gcb20a9cfh8snv.apps.googleusercontent.com,Web Application,"Gmail, Apps Script Runtime",29,Apps Script
Slack,533288507123-mq1s4kd1ifi8ulnmni5ud1bp1u1ps393.apps.googleusercontent.com,Web Application,"Gmail, Apps Script Runtime",7,Apps Script
feedly,534890559860-r6gn7e3agcpiriehe63dkeus0tpl5i4i.apps.googleusercontent.com,Web Application,Others,3,Meta
HackerRank,539603982008.apps.googleusercontent.com,Web Application,Others,2,Meta
Untitled project,539905950674-td0coc759ndqpm2ms1ekvb7khap81jm1.apps.googleusercontent.com,Web Application,Drive,1,
Strava Mobile,541588808765.apps.googleusercontent.com,Web Application,Others,1,Meta
PnL,543156829913-bhno4n2rmdcvsp8l9q92rh73li66b7lf.apps.googleusercontent.com,Web Application,Drive,1,
Any.do,543675644531-g4dslkg8olbmn1jopsoai5a7qcrlt33t.apps.googleusercontent.com,Android,Others,1,Meta
Any.do,543675644531-nsdamnj2uqafj8d3hv9q9lmevvc9tcrm.apps.googleusercontent.com,Web Application,Others,1,Meta
Music Player for Google Drive,543871781652.apps.googleusercontent.com,Web Application,Drive,2,
Recorded Macros (McKay Invoice Tracker),54632898903-9m0j09u30es98gnil59fsp1ed38om367.apps.googleusercontent.com,Web Application,Drive,1,
sortSheets,550012858186-928b3f2nv6rq9c068o2u4sg0ipbcdge1.apps.googleusercontent.com,Web Application,Drive,1,
Lattice,554378352164-as0b0ojctfu8ashklgqt0rkufdaprc77.apps.googleusercontent.com,Web Application,Calendar,1,
Quota_Alert_sandbox,55765363332-rdth9c7m791cgqntkmeo41eirm86hn3k.apps.googleusercontent.com,Web Application,"Gmail, Drive",1,
Tableau Server,559142988460-pq4ajno1o46uj4cdised6628dp2ge8mj.apps.googleusercontent.com,Web Application,Drive,1,
MakeMyTrip,568430513605-ngh8qioe5qtsbg8oq4ijv2th5u4ls1i9.apps.googleusercontent.com,Web Application,Others,3,Meta
